date,btc price
2025/11/21,86956
2025/11/20,89330
2025/11/19,93331
2025/11/18,93717
2025/11/17,94298
2025/11/16,95871
2025/11/15,96971
2025/11/14,100494
2025/11/13,101442
2025/11/12,103494
2025/11/11,105334
2025/11/10,103641
2025/11/9,101640
2025/11/8,101621
2025/11/7,100995
2025/11/6,103639
2025/11/5,101292
2025/11/4,106832
2025/11/3,110196
2025/11/2,110305
2025/11/1,108886
2025/10/31,107409
2025/10/30,111158
2025/10/29,115506
2025/10/28,115527
2025/10/27,113667
2025/10/26,111418
2025/10/25,110265
2025/10/24,109969
2025/10/23,108103
2025/10/22,112562
2025/10/21,110588
2025/10/20,109192
2025/10/19,106727
2025/10/18,106644
2025/10/17,108845
2025/10/16,110392
2025/10/15,112826
2025/10/14,114684
2025/10/13,114502
2025/10/12,112143
2025/10/11,118024
2025/10/10,120275
2025/10/9,123602
2025/10/8,121550
2025/10/7,125480
2025/10/6,123257
2025/10/5,121840
2025/10/4,123057
2025/10/3,119722
2025/10/2,117451
2025/10/1,113135
2025/9/30,113713
2025/9/29,110319
2025/9/28,109382
2025/9/27,109629
2025/9/26,110464
2025/9/25,113852
2025/9/24,112653
2025/9/23,112373
2025/9/22,115414
2025/9/21,115990
2025/9/20,115858
2025/9/19,117719
2025/9/18,115705
2025/9/17,116591
2025/9/16,114865
2025/9/15,115534
2025/9/14,115324
2025/9/13,115615
2025/9/12,114480
2025/9/11,114008
2025/9/10,111058
2025/9/9,112384
2025/9/8,111130
2025/9/7,110210
2025/9/6,110698
2025/9/5,109697
2025/9/4,112386
2025/9/3,110738
2025/9/2,108602
2025/9/1,108914
2025/8/31,108875
2025/8/30,108280
2025/8/29,112274
2025/8/28,111969
2025/8/27,109810
2025/8/26,112485
2025/8/25,114433
2025/8/24,115060
2025/8/23,116756
2025/8/22,112263
2025/8/21,113932
2025/8/20,113248
2025/8/19,116386
2025/8/18,117888
2025/8/17,117764
2025/8/16,117221
2025/8/15,117694
2025/8/14,121633
2025/8/13,119778
2025/8/12,119839
2025/8/11,118621
2025/8/10,116769
2025/8/9,116435
2025/8/8,116434
2025/8/7,115185
2025/8/6,113193
2025/8/5,115507
2025/8/4,114084
2025/8/3,113314
2025/8/2,114581
2025/8/1,118186
2025/7/31,117803
2025/7/30,117832
2025/7/29,117782
2025/7/28,119015
2025/7/27,118052
2025/7/26,116203
2025/7/25,118883
2025/7/24,117497
2025/7/23,118670
2025/7/22,118012
2025/7/21,118398
2025/7/20,117958
2025/7/19,117666
2025/7/18,118863
2025/7/17,119361
2025/7/16,117268
2025/7/15,120430
2025/7/14,118657
2025/7/13,117325
2025/7/12,117527
2025/7/11,113305
2025/7/10,109286
2025/7/9,108821
2025/7/8,107996
2025/7/7,108791
2025/7/6,108039
2025/7/5,107809
2025/7/4,109584
2025/7/3,109510
2025/7/2,106170
2025/7/1,107601
2025/6/30,107544
2025/6/29,107387
2025/6/28,107271
2025/6/27,107369
2025/6/26,107366
2025/6/25,105972
2025/6/24,101421
2025/6/23,99992
2025/6/22,103545
2025/6/21,103540
2025/6/20,104060
2025/6/19,104236
2025/6/18,103696
2025/6/17,107773
2025/6/16,105553
2025/6/15,104630
2025/6/14,105402
2025/6/13,107911
2025/6/12,109565
2025/6/11,108949
2025/6/10,108202
2025/6/9,106241
2025/6/8,105483
2025/6/7,104633
2025/6/6,103628
2025/6/5,105406
2025/6/4,106105
2025/6/3,104264
2025/6/2,105183
2025/6/1,104544
2025/5/31,104113
2025/5/30,106736
2025/5/29,107682
2025/5/28,110352
2025/5/27,109480
2025/5/26,107243
2025/5/25,109083
2025/5/24,109306
2025/5/23,111355
2025/5/22,109143
2025/5/21,105869
2025/5/20,105194
2025/5/19,105737
2025/5/18,103042
2025/5/17,104143
2025/5/16,103724
2025/5/15,103267
2025/5/14,103895
2025/5/13,103019
2025/5/12,103967
2025/5/11,103470
2025/5/10,102826
2025/5/9,101289
2025/5/8,96840
2025/5/7,94453
2025/5/6,94113
2025/5/5,95459
2025/5/4,96089
2025/5/3,97218
2025/5/2,97181
2025/5/1,93869
2025/4/30,95053
2025/4/29,93731
2025/4/28,94046
2025/4/27,94311
2025/4/26,95470
2025/4/25,93158
2025/4/24,93845
2025/4/23,90826
2025/4/22,86837
2025/4/21,84524
2025/4/20,84903
2025/4/19,84493
2025/4/18,84991
2025/4/17,85176
2025/4/16,84956
2025/4/15,84389
2025/4/14,84443
2025/4/13,84493
2025/4/12,82889
2025/4/11,78814
2025/4/10,78288
2025/4/9,77114
2025/4/8,78195
2025/4/7,81654
2025/4/6,82718
2025/4/5,83100
2025/4/4,81833
2025/4/3,87209
2025/4/2,85145
2025/4/1,83398
2025/3/31,82333
2025/3/30,81805
2025/3/29,83639
2025/3/28,86974
2025/3/27,86745
2025/3/26,88227
2025/3/25,88189
2025/3/24,85312
2025/3/23,84142
2025/3/22,83853
2025/3/21,84121
2025/3/20,84560
2025/3/19,81732
2025/3/18,83754
2025/3/17,83201
2025/3/16,84205
2025/3/15,84443
2025/3/14,81099
2025/3/13,83884
2025/3/12,82799
2025/3/11,78784
2025/3/10,80751
2025/3/9,86143
2025/3/8,86773
2025/3/7,90001
2025/3/6,90604
2025/3/5,87311
2025/3/4,86125
2025/3/3,94262
2025/3/2,86005
2025/3/1,84442
2025/2/28,84709
2025/2/27,83900
2025/2/26,88756
2025/2/25,91397
2025/2/24,96327
2025/2/23,96564
2025/2/22,96135
2025/2/21,98384
2025/2/20,96555
2025/2/19,95496
2025/2/18,95776
2025/2/17,96149
2025/2/16,97570
2025/2/15,97488
2025/2/14,96562
2025/2/13,97836
2025/2/12,95740
2025/2/11,97400
2025/2/10,96549
2025/2/9,96558
2025/2/8,96558
2025/2/7,96635
2025/2/6,96583
2025/2/5,98118
2025/2/4,101467
2025/2/3,97568
2025/2/2,100675
2025/2/1,102382
2025/1/31,104782
2025/1/30,103719
2025/1/29,101313
2025/1/28,101958
2025/1/27,102552
2025/1/26,104796
2025/1/25,104835
2025/1/24,104068
2025/1/23,103674
2025/1/22,106182
2025/1/21,101765
2025/1/20,101275
2025/1/19,104335
2025/1/18,104161
2025/1/17,100045
2025/1/16,100313
2025/1/15,96574
2025/1/14,94456
2025/1/13,94455
2025/1/12,94560
2025/1/11,94737
2025/1/10,92376
2025/1/9,95017
2025/1/8,96952
2025/1/7,102229
2025/1/6,98365
2025/1/5,98257
2025/1/4,98084
2025/1/3,96852
2025/1/2,94384
2025/1/1,93508
